Year,Award,Category,Actor,Show,Won,
2018, 24th Annual,FEMALE COMEDY,JANE FONDA,GRACE AND FRANKIE,False,
2018, 24th Annual,FEMALE COMEDY,LILY TOMLIN,GRACE AND FRANKIE,False,
2018, 24th Annual,FEMALE COMEDY,UZO ADUBA,ORANGE IS THE NEW BLACK,False,
2018, 24th Annual,FEMALE COMEDY,JULIA LOUIS-DREYFUS,VEEP,True,
2018, 24th Annual,FEMALE DRAMA,ROBIN WRIGHT,HOUSE OF CARDS,False,
2018, 24th Annual,FEMALE DRAMA,MILLIE BOBBY BROWN,STRANGER THINGS,False,
2018, 24th Annual,FEMALE DRAMA,CLAIRE FOY,THE CROWN,True,
2018, 24th Annual,FEMALE DRAMA,ELISABETH MOSS,THE HANDMAID'S TALE,False,
2018, 24th Annual,FEMALE LEAD,MARGOT ROBBIE,"I, Tonya",False,
2018, 24th Annual,FEMALE LEAD,SAOIRSE RONAN,LADY BIRD,False,
2018, 24th Annual,FEMALE LEAD,SALLY HAWKINS,THE SHAPE OF WATER,False,
2018, 24th Annual,FEMALE LEAD,FRANCES MCDORMAND,THREE BILLBOARDS OUTSIDE EBBING MISSOURI,True,
2018, 24th Annual,FEMALE LEAD,JUDI DENCH,VICTORIA & ABDUL,False,
2018, 24th Annual,FEMALE SUPPORT,HONG CHAU,DOWNSIZING,False,
2018, 24th Annual,FEMALE SUPPORT,ALLISON JANNEY,"I, Tonya",False,
2018, 24th Annual,FEMALE SUPPORT,LAURIE METCALF,LADY BIRD,False,
2018, 24th Annual,FEMALE SUPPORT,MARY J. BLIGE,MUDBOUND,False,
2018, 24th Annual,FEMALE SUPPORT,HOLLY HUNTER,THE BIG SICK,False,
2018, 24th Annual,FEMALE TV MOVIE OR LIMITED SERIES,LAURA DERN,BIG LITTLE LIES,False,
2018, 24th Annual,FEMALE TV MOVIE OR LIMITED SERIES,NICOLE KIDMAN,BIG LITTLE LIES,True,
2018, 24th Annual,FEMALE TV MOVIE OR LIMITED SERIES,REESE WITHERSPOON,BIG LITTLE LIES,False,
2018, 24th Annual,FEMALE TV MOVIE OR LIMITED SERIES,JESSICA  LANGE,FEUD: BETTE AND JOAN,False,
2018, 24th Annual,FEMALE TV MOVIE OR LIMITED SERIES,SUSAN SARANDON,FEUD: BETTE AND JOAN,False,
2018, 24th Annual,MALE COMEDY,ANTHONY ANDERSON,BLACK-ISH,False,
2018, 24th Annual,MALE COMEDY,LARRY DAVID,CURB YOUR ENTHUSIASM,False,
2018, 24th Annual,MALE COMEDY,MARC MARON,GLOW,False,
2018, 24th Annual,MALE COMEDY,AZIZ ANSARI,MASTER OF NONE,False,
2018, 24th Annual,MALE COMEDY,WILLIAM H. MACY,SHAMELESS,True,
2018, 24th Annual,MALE COMEDY,SEAN HAYES,WILL & GRACE,False,
2018, 24th Annual,MALE DRAMA,BOB ODENKIRK,BETTER CALL SAUL,False,
2018, 24th Annual,MALE DRAMA,PETER DINKLAGE,GAME OF THRONES,False,
2018, 24th Annual,MALE DRAMA,JASON BATEMAN,OZARK,False,
2018, 24th Annual,MALE DRAMA,DAVID HARBOUR,STRANGER THINGS,False,
2018, 24th Annual,MALE DRAMA,STERLING K. BROWN,THIS IS US,True,
2018, 24th Annual,MALE LEAD,TIMOTH??E CHALAMET,CALL ME BY YOUR NAME,False,
2018, 24th Annual,MALE LEAD,GARY OLDMAN,DARKEST HOUR,True,
2018, 24th Annual,MALE LEAD,DANIEL KALUUYA,GET OUT,False,
2018, 24th Annual,MALE LEAD,JAMES FRANCO,THE DISASTER ARTIST,False,
2018, 24th Annual,MALE SUPPORT,STEVE CARELL,BATTLE OF THE SEXES,False,
2018, 24th Annual,MALE SUPPORT,WILLEM DAFOE,THE FLORIDA PROJECT,False,
2018, 24th Annual,MALE SUPPORT,RICHARD JENKINS,THE SHAPE OF WATER,False,
2018, 24th Annual,MALE SUPPORT,SAM ROCKWELL,THREE BILLBOARDS OUTSIDE EBBING MISSOURI,True,
2018, 24th Annual,MALE SUPPORT,WOODY HARRELSON,THREE BILLBOARDS OUTSIDE EBBING MISSOURI,False,
2018, 24th Annual,MALE TV MOVIE OR LIMITED SERIES,ALEXANDER SKARSGARD,BIG LITTLE LIES,True,
2018, 24th Annual,MALE TV MOVIE OR LIMITED SERIES,GEOFFREY RUSH,GENIUS,False,
2018, 24th Annual,MALE TV MOVIE OR LIMITED SERIES,JEFF DANIELS,GODLESS,False,
2018, 24th Annual,MALE TV MOVIE OR LIMITED SERIES,BENEDICT CUMBERBATCH,SHERLOCK: THE LYING DETECTIVE,False,
2018, 24th Annual,MALE TV MOVIE OR LIMITED SERIES,ROBERT DE NIRO,THE WIZARD OF LIES,False,
2018, 24th Annual,STUNT ENSEMBLE IN A MOTION PICTURE,,BABY DRIVER,False,
2018, 24th Annual,STUNT ENSEMBLE IN A MOTION PICTURE,,DUNKIRK,False,
2018, 24th Annual,STUNT ENSEMBLE IN A MOTION PICTURE,,LOGAN,False,
2018, 24th Annual,STUNT ENSEMBLE IN A MOTION PICTURE,,WAR FOR THE PLANET OF THE APES,False,
2018, 24th Annual,STUNT ENSEMBLE IN A MOTION PICTURE,,WONDER WOMAN,True,
2018, 24th Annual,STUNT ENSEMBLE IN A SERIES,,GAME OF THRONES,True,
2018, 24th Annual,STUNT ENSEMBLE IN A SERIES,,GLOW,False,
2018, 24th Annual,STUNT ENSEMBLE IN A SERIES,,HOMELAND,False,
2018, 24th Annual,STUNT ENSEMBLE IN A SERIES,,STRANGER THINGS,False,
2018, 24th Annual,STUNT ENSEMBLE IN A SERIES,,THE WALKING DEAD,False,
2017, 23rd Annual,CAST IN A MOTION PICTURE,,CAPTAIN FANTASTIC,False,
2017, 23rd Annual,CAST IN A MOTION PICTURE,ANN DOWD,CAPTAIN FANTASTIC,False,
2017, 23rd Annual,CAST IN A MOTION PICTURE,ANNALISE BASSO,CAPTAIN FANTASTIC,False,
2017, 23rd Annual,CAST IN A MOTION PICTURE,CHARLIE SHOTWELL,CAPTAIN FANTASTIC,False,
2017, 23rd Annual,CAST IN A MOTION PICTURE,ERIN MORIARTY,CAPTAIN FANTASTIC,False,
2017, 23rd Annual,CAST IN A MOTION PICTURE,FRANK LANGELLA,CAPTAIN FANTASTIC,False,
2017, 23rd Annual,CAST IN A MOTION PICTURE,GEORGE MacKAY,CAPTAIN FANTASTIC,False,
2017, 23rd Annual,CAST IN A MOTION PICTURE,KATHRYN HAHN,CAPTAIN FANTASTIC,False,
2017, 23rd Annual,CAST IN A MOTION PICTURE,MISSI PYLE,CAPTAIN FANTASTIC,False,
2017, 23rd Annual,CAST IN A MOTION PICTURE,NICHOLAS HAMILTON,CAPTAIN FANTASTIC,False,
2017, 23rd Annual,CAST IN A MOTION PICTURE,SAMANTHA ISLER,CAPTAIN FANTASTIC,False,
2017, 23rd Annual,CAST IN A MOTION PICTURE,SHREE COOKS,CAPTAIN FANTASTIC,False,
2017, 23rd Annual,CAST IN A MOTION PICTURE,STEVE ZAHN,CAPTAIN FANTASTIC,False,
2017, 23rd Annual,CAST IN A MOTION PICTURE,VIGGO MORTENSEN,CAPTAIN FANTASTIC,False,
2017, 23rd Annual,CAST IN A MOTION PICTURE,,FENCES,False,
2017, 23rd Annual,CAST IN A MOTION PICTURE,DENZEL WASHINGTON,FENCES,False,
2017, 23rd Annual,CAST IN A MOTION PICTURE,JOVAN ADEPO,FENCES,False,
2017, 23rd Annual,CAST IN A MOTION PICTURE,MYKELTI WILLIAMSON,FENCES,False,
2017, 23rd Annual,CAST IN A MOTION PICTURE,RUSSELL HORNSBY,FENCES,False,
2017, 23rd Annual,CAST IN A MOTION PICTURE,SANIYYA SIDNEY,FENCES,False,
2017, 23rd Annual,CAST IN A MOTION PICTURE,STEPHEN McKINLEY HENDERSON,FENCES,False,
2017, 23rd Annual,CAST IN A MOTION PICTURE,VIOLA DAVIS,FENCES,False,
2017, 23rd Annual,CAST IN A MOTION PICTURE,,HIDDEN FIGURES,True,
2017, 23rd Annual,CAST IN A MOTION PICTURE,ALDIS HODGE,HIDDEN FIGURES,True,
2017, 23rd Annual,CAST IN A MOTION PICTURE,GLEN POWELL,HIDDEN FIGURES,True,
2017, 23rd Annual,CAST IN A MOTION PICTURE,JANELLE MON??E,HIDDEN FIGURES,True,
2017, 23rd Annual,CAST IN A MOTION PICTURE,JIM PARSONS,HIDDEN FIGURES,True,
2017, 23rd Annual,CAST IN A MOTION PICTURE,KEVIN COSTNER,HIDDEN FIGURES,True,
2017, 23rd Annual,CAST IN A MOTION PICTURE,KIRSTEN DUNST,HIDDEN FIGURES,True,
2017, 23rd Annual,CAST IN A MOTION PICTURE,MAHERSHALA ALI,HIDDEN FIGURES,True,
2017, 23rd Annual,CAST IN A MOTION PICTURE,OCTAVIA SPENCER,HIDDEN FIGURES,True,
2017, 23rd Annual,CAST IN A MOTION PICTURE,TARAJI P. HENSON,HIDDEN FIGURES,True,
2017, 23rd Annual,CAST IN A MOTION PICTURE,,MANCHESTER BY THE SEA,False,
2017, 23rd Annual,CAST IN A MOTION PICTURE,CASEY AFFLECK,MANCHESTER BY THE SEA,False,
2017, 23rd Annual,CAST IN A MOTION PICTURE,GRETCHEN MOL,MANCHESTER BY THE SEA,False,
2017, 23rd Annual,CAST IN A MOTION PICTURE,KYLE CHANDLER,MANCHESTER BY THE SEA,False,
2017, 23rd Annual,CAST IN A MOTION PICTURE,LUCAS HEDGES,MANCHESTER BY THE SEA,False,
2017, 23rd Annual,CAST IN A MOTION PICTURE,MATTHEW BRODERICK,MANCHESTER BY THE SEA,False,
2017, 23rd Annual,CAST IN A MOTION PICTURE,MICHELLE WILLIAMS,MANCHESTER BY THE SEA,False,
2017, 23rd Annual,CAST IN A MOTION PICTURE,,MOONLIGHT,False,
2017, 23rd Annual,CAST IN A MOTION PICTURE,ANDR?? HOLLAND,MOONLIGHT,False,
2017, 23rd Annual,CAST IN A MOTION PICTURE,ASHTON SANDERS,MOONLIGHT,False,
2017, 23rd Annual,CAST IN A MOTION PICTURE,JANELLE MON??E,MOONLIGHT,False,
2017, 23rd Annual,CAST IN A MOTION PICTURE,JHARREL JEROME,MOONLIGHT,False,
2017, 23rd Annual,CAST IN A MOTION PICTURE,MAHERSHALA ALI,MOONLIGHT,False,
2017, 23rd Annual,CAST IN A MOTION PICTURE,NAOMIE HARRIS,MOONLIGHT,False,
2017, 23rd Annual,CAST IN A MOTION PICTURE,TREVANTE RHODES,MOONLIGHT,False,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,,BLACK-ISH,False,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,ANTHONY ANDERSON,BLACK-ISH,False,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,DEON COLE,BLACK-ISH,False,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,JEFF MEACHAM,BLACK-ISH,False,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,JENIFER LEWIS,BLACK-ISH,False,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,LAURENCE FISHBURNE,BLACK-ISH,False,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,MARCUS SCRIBNER,BLACK-ISH,False,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,MARSAI MARTIN,BLACK-ISH,False,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,MILES BROWN,BLACK-ISH,False,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,PETER MACKENZIE,BLACK-ISH,False,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,TRACEE ELLIS ROSS,BLACK-ISH,False,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,YARA SHAHIDI,BLACK-ISH,False,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,,MODERN FAMILY,False,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,ARIEL WINTER,MODERN FAMILY,False,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,AUBREY ANDERSON-EMMONS,MODERN FAMILY,False,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,ED O'NEILL,MODERN FAMILY,False,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,ERIC STONESTREET,MODERN FAMILY,False,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,JEREMY MAGUIRE,MODERN FAMILY,False,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,JESSE TYLER FERGUSON,MODERN FAMILY,False,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,JULIE BOWEN,MODERN FAMILY,False,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,NOLAN GOULD,MODERN FAMILY,False,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,RICO RODRIGUEZ,MODERN FAMILY,False,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,SARAH HYLAND,MODERN FAMILY,False,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,SOFIA VERGARA,MODERN FAMILY,False,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,TY BURRELL,MODERN FAMILY,False,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,,ORANGE IS THE NEW BLACK,True,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,ABIGAIL SAVAGE,ORANGE IS THE NEW BLACK,True,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,ADRIENNE C. MOORE,ORANGE IS THE NEW BLACK,True,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,ALAN AISENBERG,ORANGE IS THE NEW BLACK,True,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,ANNIE GOLDEN,ORANGE IS THE NEW BLACK,True,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,BETH DOVER,ORANGE IS THE NEW BLACK,True,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,BLAIR BROWN,ORANGE IS THE NEW BLACK,True,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,BRAD WILLIAM HENKE,ORANGE IS THE NEW BLACK,True,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,CONSTANCE SHULMAN,ORANGE IS THE NEW BLACK,True,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,DALE SOULES,ORANGE IS THE NEW BLACK,True,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,DANIELLE BROOKS,ORANGE IS THE NEW BLACK,True,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,DASCHA POLANCO,ORANGE IS THE NEW BLACK,True,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,DIANE GUERRERO,ORANGE IS THE NEW BLACK,True,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,ELIZABETH RODRIGUEZ,ORANGE IS THE NEW BLACK,True,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,EMMA MYLES,ORANGE IS THE NEW BLACK,True,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,JACKIE CRUZ,ORANGE IS THE NEW BLACK,True,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,JAMES McMENAMIN,ORANGE IS THE NEW BLACK,True,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,JESSICA PIMENTEL,ORANGE IS THE NEW BLACK,True,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,JOLEN PURDY,ORANGE IS THE NEW BLACK,True,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,JULIE LAKE,ORANGE IS THE NEW BLACK,True,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,KATE MULGREW,ORANGE IS THE NEW BLACK,True,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,KIMIKO GLENN,ORANGE IS THE NEW BLACK,True,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,LAURA GOMEZ,ORANGE IS THE NEW BLACK,True,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,LAURA PREPON,ORANGE IS THE NEW BLACK,True,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,LEA DeLARIA,ORANGE IS THE NEW BLACK,True,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,LIN TUCCI,ORANGE IS THE NEW BLACK,True,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,LORI PETTY,ORANGE IS THE NEW BLACK,True,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,MATT PETERS,ORANGE IS THE NEW BLACK,True,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,MICHAEL J. HARNEY,ORANGE IS THE NEW BLACK,True,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,NATASHA LYONNE,ORANGE IS THE NEW BLACK,True,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,NICK SANDOW,ORANGE IS THE NEW BLACK,True,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,SAMIRA WILEY,ORANGE IS THE NEW BLACK,True,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,SELENIS LEYVA,ORANGE IS THE NEW BLACK,True,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,TARYN MANNING,ORANGE IS THE NEW BLACK,True,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,TAYLOR SCHILLING,ORANGE IS THE NEW BLACK,True,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,UZO ADUBA,ORANGE IS THE NEW BLACK,True,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,VICKY JEUDY,ORANGE IS THE NEW BLACK,True,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,YAEL STONE,ORANGE IS THE NEW BLACK,True,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,,THE BIG BANG THEORY,False,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,JIM PARSONS,THE BIG BANG THEORY,False,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,JOHNNY GALECKI,THE BIG BANG THEORY,False,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,KALEY CUOCO,THE BIG BANG THEORY,False,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,KUNAL NAYYAR,THE BIG BANG THEORY,False,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,MAYIM BALIK,THE BIG BANG THEORY,False,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,MELISSA RAUCH,THE BIG BANG THEORY,False,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,SIMON HELBERG,THE BIG BANG THEORY,False,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,,VEEP,False,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,ANNA CHLUMSKY,VEEP,False,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,CLEA DUVALL,VEEP,False,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,DAN BAKKEDAHL,VEEP,False,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,GARY COLE,VEEP,False,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,HUGH LAURIE,VEEP,False,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,JOHN SLATTERY,VEEP,False,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,JULIA LOUIS-DREYFUS,VEEP,False,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,KEVIN DUNN,VEEP,False,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,MATT WALSH,VEEP,False,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,NELSON FRANKLIN,VEEP,False,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,REID SCOTT,VEEP,False,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,SAM RICHARDSON,VEEP,False,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,SARAH SUTHERLAND,VEEP,False,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,SUFE BRADSHAW,VEEP,False,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,TIMOTHY SIMONS,VEEP,False,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,TONY HALE,VEEP,False,
2017, 23rd Annual,ENSEMBLE IN A COMEDY SERIES,WAYNE WILDERSON,VEEP,False,
2017, 23rd Annual,ENSEMBLE IN A DRAMA SERIES,,DOWNTON ABBEY,False,
2017, 23rd Annual,ENSEMBLE IN A DRAMA SERIES,ALLEN LEECH,DOWNTON ABBEY,False,
2017, 23rd Annual,ENSEMBLE IN A DRAMA SERIES,BRENDAN COYLE,DOWNTON ABBEY,False,
2017, 23rd Annual,ENSEMBLE IN A DRAMA SERIES,DAVID ROBB,DOWNTON ABBEY,False,
2017, 23rd Annual,ENSEMBLE IN A DRAMA SERIES,DOUGLAS REITH,DOWNTON ABBEY,False,
2017, 23rd Annual,ENSEMBLE IN A DRAMA SERIES,ELIZABETH McGOVERN,DOWNTON ABBEY,False,
2017, 23rd Annual,ENSEMBLE IN A DRAMA SERIES,HARRY HADDEN-PATON,DOWNTON ABBEY,False,
2017, 23rd Annual,ENSEMBLE IN A DRAMA SERIES,HOWARD WARD,DOWNTON ABBEY,False,
2017, 23rd Annual,ENSEMBLE IN A DRAMA SERIES,HUGH BONNEVILLE,DOWNTON ABBEY,False,
2017, 23rd Annual,ENSEMBLE IN A DRAMA SERIES,JEREMY SWIFT,DOWNTON ABBEY,False,
2017, 23rd Annual,ENSEMBLE IN A DRAMA SERIES,JIM CARTER,DOWNTON ABBEY,False,
2017, 23rd Annual,ENSEMBLE IN A DRAMA SERIES,JOANNE FROGGATT,DOWNTON ABBEY,False,
2017, 23rd Annual,ENSEMBLE IN A DRAMA SERIES,KEVIN DOYLE,DOWNTON ABBEY,False,
2017, 23rd Annual,ENSEMBLE IN A DRAMA SERIES,LAURA CARMICHAEL,DOWNTON ABBEY,False,
2017, 23rd Annual,ENSEMBLE IN A DRAMA SERIES,LESLEY NICOL,DOWNTON ABBEY,False,
2017, 23rd Annual,ENSEMBLE IN A DRAMA SERIES,MAGGIE SMITH,DOWNTON ABBEY,False,
2017, 23rd Annual,ENSEMBLE IN A DRAMA SERIES,MATTHEW GOODE,DOWNTON ABBEY,False,
2017, 23rd Annual,ENSEMBLE IN A DRAMA SERIES,MICHAEL FOX,DOWNTON ABBEY,False,
2017, 23rd Annual,ENSEMBLE IN A DRAMA SERIES,MICHELLE DOCKERY,DOWNTON ABBEY,False,
2017, 23rd Annual,ENSEMBLE IN A DRAMA SERIES,PATRICK BRENNAN,DOWNTON ABBEY,False,
2017, 23rd Annual,ENSEMBLE IN A DRAMA SERIES,PAUL COPLEY,DOWNTON ABBEY,False,
2017, 23rd Annual,ENSEMBLE IN A DRAMA SERIES,PENELOPE WILTON,DOWNTON ABBEY,False,
2017, 23rd Annual,ENSEMBLE IN A DRAMA SERIES,PHYLLIS LOGAN,DOWNTON ABBEY,False,
2017, 23rd Annual,ENSEMBLE IN A DRAMA SERIES,RAQUEL CASSIDY,DOWNTON ABBEY,False,
2017, 23rd Annual,ENSEMBLE IN A DRAMA SERIES,ROBERT JAMES-COLLIER,DOWNTON ABBEY,False,
2017, 23rd Annual,ENSEMBLE IN A DRAMA SERIES,SAMANTHA BOND,DOWNTON ABBEY,False,
2017, 23rd Annual,ENSEMBLE IN A DRAMA SERIES,SOPHIE McSHERA,DOWNTON ABBEY,False,
2017, 23rd Annual,ENSEMBLE IN A DRAMA SERIES,SUE JOHNSTON,DOWNTON ABBEY,False,
2017, 23rd Annual,ENSEMBLE IN A DRAMA SERIES,,GAME OF THRONES,False,
2017, 23rd Annual,ENSEMBLE IN A DRAMA SERIES,ALFIE ALLEN,GAME OF THRONES,False,
2017, 23rd Annual,ENSEMBLE IN A DRAMA SERIES,CARICE VAN HOUTEN,GAME OF THRONES,False,
2017, 23rd Annual,ENSEMBLE IN A DRAMA SERIES,CONLETH HILL,GAME OF THRONES,False,
2017, 23rd Annual,ENSEMBLE IN A DRAMA SERIES,DEAN CHARLES CHAPMAN,GAME OF THRONES,False,
2017, 23rd Annual,ENSEMBLE IN A DRAMA SERIES,EMILIA CLARKE,GAME OF THRONES,False,
2017, 23rd Annual,ENSEMBLE IN A DRAMA SERIES,FAYE MARSAY,GAME OF THRONES,False,
2017, 23rd Annual,ENSEMBLE IN A DRAMA SERIES,GEMMA WHELAN,GAME OF THRONES,False,
2017, 23rd Annual,ENSEMBLE IN A DRAMA SERIES,JACOB ANDERSON,GAME OF THRONES,False,
2017, 23rd Annual,ENSEMBLE IN A DRAMA SERIES,JONATHAN PRYCE,GAME OF THRONES,False,
2017, 23rd Annual,ENSEMBLE IN A DRAMA SERIES,KIT HARINGTON,GAME OF THRONES,False,
2017, 23rd Annual,ENSEMBLE IN A DRAMA SERIES,KRISTOFER HIVJU,GAME OF THRONES,False,
2017, 23rd Annual,ENSEMBLE IN A DRAMA SERIES,LENA HEADEY,GAME OF THRONES,False,
2017, 23rd Annual,ENSEMBLE IN A DRAMA SERIES,LIAM CUNNINGHAM,GAME OF THRONES,False,
2017, 23rd Annual,ENSEMBLE IN A DRAMA SERIES,MAISIE WILLIAMS,GAME OF THRONES,False,
2017, 23rd Annual,ENSEMBLE IN A DRAMA SERIES,MICHIEL HUISMAN,GAME OF THRONES,False,
2017, 23rd Annual,ENSEMBLE IN A DRAMA SERIES,NATHALIE EMMANUEL,GAME OF THRONES,False,
2017, 23rd Annual,ENSEMBLE IN A DRAMA SERIES,NIKOLAJ COSTER-WALDAU,GAME OF THRONES,False,
2017, 23rd Annual,ENSEMBLE IN A DRAMA SERIES,PETER DINKLAGE,GAME OF THRONES,False,
2017, 23rd Annual,ENSEMBLE IN A DRAMA SERIES,SOPHIE TURNER,GAME OF THRONES,False,
2017, 23rd Annual,ENSEMBLE IN A DRAMA SERIES,,STRANGER THINGS,True,
2017, 23rd Annual,ENSEMBLE IN A DRAMA SERIES,CALEB McLAUGHLIN,STRANGER THINGS,True,
2017, 23rd Annual,ENSEMBLE IN A DRAMA SERIES,CARA BUONO,STRANGER THINGS,True,
2017, 23rd Annual,ENSEMBLE IN A DRAMA SERIES,CHARLIE HEATON,STRANGER THINGS,True,
2017, 23rd Annual,ENSEMBLE IN A DRAMA SERIES,DAVID HARBOUR,STRANGER THINGS,True,
2017, 23rd Annual,ENSEMBLE IN A DRAMA SERIES,FINN WOLFHARD,STRANGER THINGS,True,
2017, 23rd Annual,ENSEMBLE IN A DRAMA SERIES,GATEN MATARAZZO,STRANGER THINGS,True,
2017, 23rd Annual,ENSEMBLE IN A DRAMA SERIES,JOE CHREST,STRANGER THINGS,True,
2017, 23rd Annual,ENSEMBLE IN A DRAMA SERIES,JOE KEERY,STRANGER THINGS,True,
2017, 23rd Annual,ENSEMBLE IN A DRAMA SERIES,JOHN PAUL REYNOLDS,STRANGER THINGS,True,
2017, 23rd Annual,ENSEMBLE IN A DRAMA SERIES,MARK STEGER,STRANGER THINGS,True,
2017, 23rd Annual,ENSEMBLE IN A DRAMA SERIES,MATTHEW MODINE,STRANGER THINGS,True,
2017, 23rd Annual,ENSEMBLE IN A DRAMA SERIES,MILLIE BOBBY BROWN,STRANGER THINGS,True,
2017, 23rd Annual,ENSEMBLE IN A DRAMA SERIES,NATALIA DYLER,STRANGER THINGS,True,
2017, 23rd Annual,ENSEMBLE IN A DRAMA SERIES,NOAH SCHNAPP,STRANGER THINGS,True,
